Client Name,Lobbyist,ABN
1st Group,TG Public Affairs,23630677673
AMAZON COMMERCIAL SERVICES PTY LTD,Sling and Stone,87 145 965 466
Alex Fraser Group,GRACosway Pty Ltd,50 082 123 822
ALDI Stores,GRACosway Pty Ltd,50 082 123 822
Alcohol and Drug Foundation,Michelson Alexander Pty Ltd,50 660 359 866
AJ Hackett,Staerk Government and Media,32 844 592 574
Aircraft Owners and Pilots Association of Australia,Strategic Political Counsel,24613884763
AIRBUS AUSTRALIA PACIFIC LIMITED,CMAX Advisory,73 130 740 546
Airbnb,Anacta Strategies Pty Ltd,64 633 978 677
All About the Food Pty Ltd,Commercial Licensing Specialists,33 134 318 595
M Resources,CRISIS&COMMS CO,56 637 786 899
Alceon,Social Impact (Qld),13 112 982 323
RESPONSE GROUP INTERNATIONAL PTY LTD,Taylor Connect,39 632 234 916
Village Road Show,Govstrat Pty Ltd,64 964 952 044
Zscaler,Hawker Britton,79 109 681 405
Zoetis Australia Pty Ltd,Willard Public Affairs Pty Ltd,17 165 851 856
American Express,SEC Newgate,38162366056
ZIPMONEY PAYMENTS PTY LTD,Sling and Stone,87 145 965 466
Zero Mass Water (Australia) Pty Limited,GRACosway Pty Ltd,50 082 123 822
Zero Industrials,Jutsum Advisory Pty Ltd,68 973 583 422
Yumbah Aquaculture,Porter Novelli Australia Pty Ltd,40079616050
Yumba Meta Housing Association ,Next Level Strategic Services,27 613 857 668
Young Change Agents,Fifty Acres - The Communications Agency,29 145 634 224
Ying Enterprise Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Yeronga Services  Club,Jacaranda Advisory,41 673 550 487
Yancoal Australia Limited,Statecraft Pty Ltd,90 116 598 924
Yabbr Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
XREF (AU) PTY LTD,Sling and Stone,87 145 965 466
Youth Insearch,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS,52 159 456 685
XCOAL MINING SERVICES PTY LTD,Walsh Stevens,18084661441
Xamplify Group Pty Ltd,PYNE AND PARTNERS,81 634 747 363
WYWM SERVICES PTY LTD,Sling and Stone,87 145 965 466
Alexandra Community Group,Project Urban Pty Ltd,97 608 895 923
WPP AUNZ,Hawker Britton,79 109 681 405
National Retail Association ,TG Public Affairs,23630677673
XERO AUSTRALIA PTY LIMITED,Sling and Stone,87 145 965 466
WorkHaven Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Woorim Developments Pty Ltd as Trustee for the Woorim Developments Trust,Precise Hospitality Licensing,46220117164
Within Energy Pty Ltd,advico,52658982471
Amazon,Hawker Britton,79 109 681 405
Wing Aviation Pty Ltd,SEC Newgate,38162366056
WINC AUSTRALIA & NEW ZEALAND PTY LTD,Cornerstone Group,9915 3936 719
Wik Timber Holdings Pty Ltd,Candra Business Advisers,26 116 275 382
Wik Projects Limited,Candra Business Advisers,26 116 275 382
WHITSUNDAY SPORT PARK INC,Jacaranda Advisory,41 673 550 487
White Wind Project No 1 Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Altum Properties No. 8 Pty Ltd,PolicyWonks,50 463 070 316
WestRex,Social Impact (Qld),13 112 982 323
Wesfarmers Limited,DPG Advisory Solutions Pty Ltd,14 634 403 115
Wounded Heroes Australia,Kurrajong Strategic Counsel,14 625 954 912
WE Platt,Kurrajong Strategic Counsel,14 625 954 912
Wave Parks Australia,Project Urban Pty Ltd,97 608 895 923
Watpac Construction (Qld) Pty Ltd ,Anacta Strategies Pty Ltd,64 633 978 677
Wanless Waste Management Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Wambo Cattle Company,PolicyWonks,50 463 070 316
Wabtec,PolicyWonks,50 463 070 316
W & M Carnall Pty Ltd ,Adams + Sparkes Town Planning and Development,39 290 334 500
VNP Corporation Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Viva Energy Australia,TG Public Affairs,23630677673
Visy Industries Pty Ltd,The Fifth Estate,51 069 838 222
Virsec,Capital Integrity,99 649 180 898
Virginia United Football Club Inc,Liquor Licensing Consultants,58 679 042 968
Vintage Energy,Conlon Advisory,11 951 391 072
Villawood Properties,Spring Street Advisory,92 603 411 650
Amicus Therapeutics,Ogilvy PR Agency Pty Limited,89 096 965 794
Village Fair Investments Pty Ltd aft the Beerwah Marketplace,Anna Grosskreutz Consulting,75 726 352 169
Victorian Trailers Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Vicinity Centres PM Pty Ltd,The Civic Group,57 157 925 365
World Surf League Australia,Next Level Strategic Services,27 613 857 668
Vestas Australia,Spring Street Advisory,92 603 411 650
VERTO,Atlas Alliance,606084913
Vertex Pharmaceuticals (Australia) Pty Ltd,Willard Public Affairs Pty Ltd,17 165 851 856
GCB Constructions Pty Ltd,BBS Communications Group Pty Ltd,34 010 899 779
Viking  River Cruises Australia Pty Ltd,Primary Communication,36617864347
Wounds Australia Limited,Watt Advocacy & Communications,16 642 238 702
Varley Pty Ltd,Outcomes & Strategies Group,20 018 352 673
Viatris Pty Ltd,Nexus APAC Pty Ltd,76 615 655 699
V2 FOOD PTY LTD,FPL Advisory,34123819385
URBNSURF GROUP Pty Ltd,GRACosway Pty Ltd,50 082 123 822
White Ribbon Australia,Primary Communication,36617864347
Vast Solar Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Windlabsystems,SEC Newgate,38162366056
URANNAH WATER SCHEME PTY LTD,Anacta Strategies Pty Ltd,64 633 978 677
Upjohn Australia,Nexus APAC Pty Ltd,76 615 655 699
Unitywater,Anacta Strategies Pty Ltd,64 633 978 677
Vanguard Health,TG Public Affairs,23630677673
United Petroleum,PolicyWonks,50 463 070 316
UGL Pty Limited,TG Public Affairs,23630677673
UFC,CPR Communications and Public Relations Pty Ltd (Melbourne),"ABN 94064357544, ACN 064357544"
Uber,Hawker Britton,79 109 681 405
Varley Rafael Australia,Outcomes & Strategies Group,20 018 352 673
Unovino Pty Ltd,Precise Hospitality Licensing,46220117164
Tursiops Pty Ltd atf P.L Lynch Family Trust,Commercial Licensing Specialists,33 134 318 595
Tuckeria Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Trustgrid Pty Ltd,PremierNational,71 619 450 841
Vitale Projects Pty Ltd,Jutsum Advisory Pty Ltd,68 973 583 422
Urbanity Projects,Jutsum Advisory Pty Ltd,68 973 583 422
Triple P International Pty Ltd,Primary Communication,36617864347
TWITTER AUSTRALIA HOLDINGS PTY LIMITED,Sling and Stone,87 145 965 466
TriCare,Promedia Public Relations,52 010 453 826
United Petroleum Pty Ltd,CT Group,72600464855
Transgrid,Northstar Public Affairs Pty Ltd,25 638 744 046
Vaxxas,Royce Comm,91 167 042 408
U.S. Chamber of Commerce,Willard Public Affairs Pty Ltd,17 165 851 856
TPG Telecom,TG Public Affairs,23630677673
Townsville and District Rugby Union,Empower Pty Ltd,33633821366
TITOMIC LIMITED,PYNE AND PARTNERS,81 634 747 363
Tresillian Family Care Centres,Kurrajong Strategic Counsel,14 625 954 912
Tindo Solar,Wilkinson Butler,95164204111
Tieri Country Club Inc,Liquor Licensing Consultants,58 679 042 968
Ti Tree bioENERGY,Social Impact (Qld),13 112 982 323
Thoroughbred Breeders Australia,Preferment Associates,30432308596
Trinity Health Enterprise (HK) Limited,Christmas Jalili,26614088881
TOMRA Group,Cornerstone Group,9915 3936 719
The University of Notre Dame Australia,TG Public Affairs,23630677673
Titan Fibre Networks Pty Ltd,SAS Group,33 136 520 548
The University of Adelaide,Jeanes Holland  & Associates,41 059 328 853
Urbis Pty Ltd ,Marketplace Communications,23 011 007 293
The Shell Company of Australia Ltd,TG Public Affairs,23630677673
TheirCare Pty Ltd,GRACosway Pty Ltd,50 082 123 822
The Royal Australian College of General Practitioners Ltd (RACGP),GRACosway Pty Ltd,50 082 123 822
The Rising Sun Restaurant & Bar,Commercial Licensing Specialists,33 134 318 595
The Pharmacy Guild of Australia Queensland Branch,Hawker Britton,79 109 681 405
The Peer Support Foundation Ltd (ABN 40 002 634 853),Australian Public Affairs,20 098 705 403
The Nature Conservancy,Diplomacy,17148998645
The National Council of the Young Men's Christian Associations of Australia,GRACosway Pty Ltd,50 082 123 822
The Monte Family Trust,Jutsum Advisory Pty Ltd,68 973 583 422
The Walt Disney Company,The Inner Circle Strategic Advisory,75634265311
The Platinum Empire Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The McKinnon Institute for Political Leadership,Barton Deakin,65 140 067 287
the trustee for the Elementsnq unit trust,Empower Pty Ltd,33633821366
The Kids Cancer Project,Kurrajong Strategic Counsel,14 625 954 912
Tri-Star,Northstar Public Affairs Pty Ltd,25 638 744 046
The Jetty Specialists,Project Urban Pty Ltd,97 608 895 923
